지역,행정구역,시군구,년도,사고건수,사망자수,중상자수,경상자수,부상신고자수,총등록대수(대),총인구수,노인수,노인비율,토지면적(㎡),도로면적(㎡),교통사고 사상자 수,교통안전도 평가지수
강원 영월군,강원,영월군,2021,9,0,6,3,0,22050.0,37904.0,11735,30.95979316,"1,127,307,391.5","14,449,289.4",5.1,0.0030204081632653063
강원 영월군,강원,영월군,2022,6,2,3,2,0,22441.0,37728.0,12211,32.3658821,"1,127,330,773.1","14,483,666.4",4.699999999999999,0.0023260995499309297
강원 영월군,강원,영월군,2023,11,2,5,3,1,22719.0,40659.0,12705,31.24769424,"1,127,407,715.4","14,483,759.2",6.4,0.003626920198952419
강원 원주시,강원,원주시,2012,76,13,42,25,0,131246.0,323885.0,37620,11.6152338,"872,434,462.1","24,263,515.2",49.9,0.004597473446809808
강원 원주시,강원,원주시,2013,72,5,43,26,2,134396.0,324837.0,38812,11.9481463,"872,410,810.0","24,394,771.3",42.89999999999999,0.00405815649275276
강원 원주시,강원,원주시,2014,81,7,39,37,2,139259.0,327292.0,39862,12.17933833,"867,973,342.5","24,750,435.8",45.4,0.0042826675475193705
강원 원주시,강원,원주시,2015,73,5,37,30,3,146855.0,332995.0,41104,12.34372888,"867,815,241.9","26,920,133.3",39.9,0.0036185352899118176
강원 원주시,강원,원주시,2016,87,7,51,31,3,154605.0,337979.0,42246,12.49959317,"868,283,081.3","27,089,435.4",51.99999999999999,0.004268943436499467
강원 원주시,강원,원주시,2017,93,6,55,31,7,160402.0,341337.0,45246,13.25552167,"868,269,599.3","27,272,213.9",53.8,0.004331616812757945
강원 원주시,강원,원주시,2018,85,3,48,30,8,166115.0,344070.0,47200,13.71813875,"868,267,721.7","27,636,825.0",45.599999999999994,0.003693826565933239
강원 원주시,강원,원주시,2019,96,7,55,37,2,171679.0,349215.0,49983,14.31295907,"868,240,237.8","28,130,762.5",56.6,0.004214842817117994
강원 원주시,강원,원주시,2020,66,5,35,24,3,179251.0,354376.0,53390,15.06591869,"868,228,515.5","28,543,258.7",36.7,0.0027012401604454093
강원 원주시,강원,원주시,2021,79,5,47,26,1,185530.0,357757.0,56771,15.86859237,"868,251,129.7","28,714,291.7",45.699999999999996,0.003181156686250202
강원 원주시,강원,원주시,2022,72,7,36,30,0,192437.0,360807.0,60755,16.83864227,"868,281,603.3","29,494,718.4",41.2,0.002781169941331449
강원 원주시,강원,원주시,2023,68,8,35,23,3,196677.0,209439.0,64487,30.79034946,"868,285,190.5","29,679,837.6",39.4,0.002584948926412341
강원 인제군,강원,인제군,2012,7,2,5,0,0,14293.0,32456.0,5396,16.62558541,"1,620,425,265.4","15,062,010.9",5.5,0.0042678234100608685
강원 인제군,강원,인제군,2013,6,3,3,0,0,14880.0,32517.0,5472,16.82812068,"1,645,150,711.9","15,134,969.4",5.1,0.0036693548387096773
강원 인제군,강원,인제군,2014,4,0,4,0,0,15395.0,32475.0,5537,17.05003849,"1,645,145,635.4","15,181,056.3",2.8,0.0021305618707372527
강원 인제군,강원,인제군,2016,5,1,4,0,0,16677.0,32720.0,5602,17.12102689,"1,645,196,110.5","15,256,553.5",3.8,0.002566408826527552
강원 인제군,강원,인제군,2017,6,1,4,2,0,17316.0,32582.0,5859,17.98232153,"1,645,179,452.9","15,287,165.9",4.3999999999999995,0.0029106029106029103
강원 인제군,강원,인제군,2018,3,0,3,0,0,17744.0,32136.0,6014,18.71421459,"1,645,178,635.4","16,352,565.5",2.0999999999999996,0.001386384129846709
강원 인제군,강원,인제군,2019,3,1,2,0,0,18056.0,31672.0,6194,19.55670624,"1,644,967,141.0","16,443,738.3",2.4,0.0014621178555604786
강원 인제군,강원,인제군,2020,1,0,0,1,0,18913.0,31694.0,6530,20.60326876,"1,646,099,211.5","16,468,833.1",0.3,0.0003066673716491303
강원 인제군,강원,인제군,2021,1,0,0,1,0,19468.0,32165.0,6899,21.44877973,"1,646,079,480.2","16,734,809.7",0.3,0.0002979247996712554
강원 인제군,강원,인제군,2022,2,0,0,0,2,20094.0,32206.0,7269,22.57032851,"1,646,193,854.2","16,840,355.9",0.0,0.0003981287946650742
강원 인제군,강원,인제군,2023,9,1,7,1,0,20533.0,27305.0,7627,27.93261307,"1,646,197,571.1","16,905,194.7",6.199999999999999,0.003564992938197048
강원 정선군,강원,정선군,2012,7,1,5,1,0,17533.0,39915.0,8185,20.50607541,"1,219,703,931.5","12,284,201.5",4.8,0.003239605315690412
강원 정선군,강원,정선군,2013,2,1,1,0,0,18025.0,39985.0,8503,21.26547455,"1,219,695,225.1","12,307,513.5",1.7,0.0010097087378640778
강원 정선군,강원,정선군,2014,7,1,5,1,0,18441.0,39425.0,8709,22.09004439,"1,219,720,713.6","12,352,071.0",4.8,0.00308009327043002
강원 정선군,강원,정선군,2015,9,1,5,3,0,19087.0,39197.0,8872,22.63438528,"1,219,727,075.1","12,382,740.3",5.4,0.003583590925760989
강원 정선군,강원,정선군,2016,9,1,7,1,0,19718.0,38718.0,9008,23.26566455,"1,219,735,833.7","12,357,277.3",6.199999999999999,0.003712344051120803
강원 정선군,강원,정선군,2017,10,2,7,2,0,20230.0,38173.0,9329,24.43873942,"1,219,774,520.0","12,492,999.8",7.499999999999999,0.004201680672268908
강원 정선군,강원,정선군,2018,7,3,3,1,0,20696.0,37700.0,9508,25.22015915,"1,219,774,229.7","12,889,789.8",5.3999999999999995,0.002918438345574024
강원 정선군,강원,정선군,2019,8,1,4,3,0,20963.0,37271.0,9837,26.39317432,"1,219,777,975.3","12,920,045.3",4.699999999999999,0.00287172637504174
강원 정선군,강원,정선군,2020,8,1,4,3,0,21476.0,36870.0,10317,27.98209927,"1,219,861,455.2","12,949,240.2",4.699999999999999,0.0028031290743155144
강원 정선군,강원,정선군,2021,6,2,2,2,0,21548.0,35675.0,10423,29.21653819,"1,219,864,655.1","13,010,604.5",4.0,0.0022275849266753297
강원 정선군,강원,정선군,2022,9,0,7,2,0,21785.0,34931.0,10846,31.04978386,"1,219,878,440.5","13,024,590.5",5.499999999999999,0.003167316961211843
강원 정선군,강원,정선군,2023,7,0,3,5,0,21943.0,41448.0,11250,27.14244354,"1,219,781,214.3","13,039,968.7",3.5999999999999996,0.002260401950508135
강원 철원군,강원,철원군,2012,12,3,8,3,0,19792.0,47968.0,8479,17.67636758,"889,440,323.4","12,315,871.0",9.5,0.00530517380759903
강원 철원군,강원,철원군,2013,6,1,5,0,0,20165.0,47473.0,8713,18.35359046,"889,434,570.4","12,588,573.7",4.5,0.002529134639226382
강원 철원군,강원,철원군,2014,10,2,6,2,0,20725.0,47590.0,8899,18.69930658,"889,425,756.7","12,741,872.4",6.799999999999999,0.0038986731001206263
강원 철원군,강원,철원군,2015,15,3,6,5,1,21859.0,48799.0,9060,18.56595422,"889,458,111.3","12,855,605.1",8.7,0.0051328972048126625
강원 철원군,강원,철원군,2016,10,0,10,0,0,22620.0,48013.0,9112,18.97819341,"889,457,459.3","13,078,626.5",7.0,0.0036251105216622455
강원 철원군,강원,철원군,2017,9,4,4,2,0,23209.0,47185.0,9264,19.63335806,"889,473,417.3","13,494,810.5",7.3999999999999995,0.003464173381015985
강원 철원군,강원,철원군,2018,8,1,2,5,0,23849.0,46413.0,9464,20.39083877,"889,471,492.0","13,574,286.9",3.9,0.002322948551301941
강원 철원군,강원,철원군,2019,8,3,3,4,0,24174.0,45584.0,9830,21.56458406,"889,682,310.5","13,648,791.0",6.3,0.002887399685612642
강원 철원군,강원,철원군,2020,5,0,3,2,0,24652.0,44699.0,10171,22.75442404,"889,693,623.9","13,641,824.7",2.6999999999999997,0.0014684406944669806
강원 철원군,강원,철원군,2021,1,0,1,0,0,24864.0,43340.0,10318,23.8071066,"889,691,762.9","13,644,666.7",0.7,0.0003297940797940799
강원 철원군,강원,철원군,2022,9,0,7,2,0,25079.0,42256.0,10657,25.22008709,"889,702,639.6","13,645,470.3",5.499999999999999,0.0027513058734399297
강원 철원군,강원,철원군,2023,5,0,2,3,1,25375.0,23007.0,11093,48.21576042,"890,129,726.8","13,728,861.1",2.3,0.0013320197044334975
강원 춘천시,강원,춘천시,2012,74,4,44,26,1,109305.0,273364.0,38278,14.00257532,"1,116,427,842.2","20,393,120.0",42.599999999999994,0.005046429715017611
강원 춘천시,강원,춘천시,2013,84,8,50,24,6,111610.0,274455.0,39467,14.38013518,"1,116,411,447.2","20,873,076.9",50.2,0.005709165845354359
강원 춘천시,강원,춘천시,2014,82,7,46,29,4,114891.0,275791.0,40376,14.64007165,"1,116,382,139.8","21,019,721.6",47.89999999999999,0.005356381265721423
강원 춘천시,강원,춘천시,2015,83,5,52,23,4,119092.0,277997.0,41092,14.78145448,"1,116,364,202.8","21,589,767.3",48.3,0.005221173546501864
